date,bids,asks
2022-09-03 21:42:37,1224.8560000000004,1113.823
2022-09-03 21:42:38,1235.2580000000005,1114.217
2022-09-03 21:42:40,1245.0480000000007,1130.8740000000005
2022-09-03 21:42:41,1245.4080000000004,1127.0120000000002
2022-09-03 21:42:42,1244.2220000000002,1120.9340000000004
2022-09-03 21:42:43,1186.4789999999998,1224.3079999999995
2022-09-03 21:42:44,1206.8430000000003,1252.7029999999997
2022-09-03 21:42:44,1198.9970000000003,1246.6959999999995
2022-09-03 21:42:45,1205.337000000001,1258.6929999999998
2022-09-03 21:42:47,1178.9540000000009,1240.047
2022-09-03 21:42:47,1182.693000000001,1258.4599999999996
2022-09-03 21:42:48,1277.7099999999996,1356.925999999999
2022-09-03 21:42:50,1285.335999999999,1203.502999999998
2022-09-03 21:42:51,1281.7909999999993,1183.3939999999982
2022-09-03 21:42:51,1287.0509999999992,1189.1279999999979
2022-09-03 21:42:52,1289.5509999999995,1192.1399999999985
2022-09-03 21:42:54,1312.5929999999998,1265.8399999999988
2022-09-03 21:42:55,1332.6700000000003,1182.707999999999
2022-09-03 21:42:56,1325.864,1191.4119999999991
2022-09-03 21:42:56,1324.0220000000002,1186.2779999999989
2022-09-03 21:42:57,1342.5100000000002,1152.0139999999988
2022-09-03 21:42:59,1254.9660000000003,1104.962999999999
2022-09-03 21:43:00,1260.0880000000004,1111.9299999999992
2022-09-03 21:43:02,1335.9009999999992,1161.7459999999992
2022-09-03 21:43:04,1332.1829999999998,1169.8639999999984
2022-09-03 21:43:07,1328.9269999999997,1187.8669999999984
2022-09-03 21:43:09,1382.059999999999,1164.4219999999984
2022-09-03 21:43:11,1370.2729999999997,1143.622999999998
2022-09-03 21:43:18,1337.7410000000002,1158.8099999999981
2022-09-03 21:43:21,1352.8790000000008,1136.5009999999986
2022-09-03 21:43:30,1372.6560000000004,1172.1529999999989
2022-09-03 21:43:34,1343.449,1131.0379999999986
2022-09-03 21:43:38,1364.4439999999997,1146.9609999999986
2022-09-03 21:43:42,1376.8469999999986,1147.8859999999988
2022-09-03 21:43:46,1342.869,1171.843999999999
2022-09-03 21:43:50,1350.215,1181.566999999999
2022-09-03 21:43:54,1363.6369999999993,1133.9479999999987
2022-09-03 21:43:56,1354.8979999999995,1152.2539999999992
2022-09-03 21:43:59,1354.5799999999992,1183.2969999999998
2022-09-03 21:44:03,1342.619,1179.3200000000002
2022-09-03 21:44:05,1344.299,1178.1689999999996
2022-09-03 21:44:08,1385.8949999999993,1120.2930000000008
2022-09-03 21:44:12,1383.8939999999993,1126.7760000000007
2022-09-03 21:44:19,1359.3199999999986,1135.067000000001
2022-09-03 21:44:24,1438.0519999999995,1095.3359999999998
2022-09-03 21:44:29,1407.0139999999997,1117.237
2022-09-03 21:44:33,1390.8599999999997,1128.0420000000004
2022-09-03 21:44:35,1364.4699999999998,1137.3819999999994
2022-09-03 21:44:40,1367.1559999999995,1073.5309999999986
2022-09-03 21:44:43,1387.502999999999,1070.1759999999988
2022-09-03 21:44:47,1392.8699999999997,1086.1709999999985
2022-09-03 21:44:50,1368.6719999999996,1056.486999999998
2022-09-03 21:44:53,1368.1859999999995,1066.7959999999978
2022-09-03 21:44:55,1353.954999999999,1093.401999999998
2022-09-03 21:44:59,1365.3239999999992,1063.3839999999982
2022-09-03 21:45:03,1332.3419999999996,1083.2599999999984
2022-09-03 21:45:06,1333.8109999999995,1134.4209999999982
2022-09-03 21:45:10,1313.7359999999992,1169.2279999999982
2022-09-03 21:45:14,1370.2179999999998,1118.2879999999986
2022-09-03 21:45:19,1345.5629999999994,1099.3139999999987
2022-09-03 21:45:30,1352.3489999999995,1099.9429999999995
2022-09-03 21:45:36,1348.0629999999996,1100.7259999999994
2022-09-03 21:45:40,1343.2059999999997,1109.5049999999997
2022-09-03 21:45:44,1361.117999999999,1112.7359999999994
2022-09-03 21:45:47,1371.2119999999989,1063.566
2022-09-03 21:45:53,1288.5309999999988,1012.0710000000004
2022-09-03 21:45:53,1198.5959999999986,1040.138
2022-09-03 21:47:41,1455.2049999999979,1066.3759999999993
2022-09-03 21:47:45,1485.598999999998,1048.9669999999992
2022-09-03 21:47:47,1471.5399999999972,1066.118999999999
2022-09-03 21:47:50,1470.4019999999975,1078.6969999999997
2022-09-03 21:47:53,1471.7979999999984,1033.3939999999996
2022-09-03 21:47:55,1463.6209999999978,1075.2739999999992
